Date,Open,High,Low,Close,Volume,Change
2024-07-24,259500,263500,257500,258500,608412,-0.03724394785847296
2024-07-25,253000,255000,247500,251500,832753,-0.03454894433781186
2024-07-26,248500,250500,232000,243500,2662741,-0.05802707930367501
2024-07-29,244000,260000,243000,255500,1302271,0.0019607843137254832
2024-07-30,253000,258000,249500,250000,594899,-0.05123339658444026
2024-07-31,250000,253500,247500,249000,594919,-0.03675048355899424
2024-08-01,251000,258500,251000,253500,734315,0.007952286282306265
2024-08-02,242500,248000,242000,244000,889521,0.002053388090349051
2024-08-05,236000,239500,216500,224000,1465965,-0.12328767123287676
2024-08-06,233500,241500,228000,235000,1250180,-0.06000000000000005
2024-08-07,233000,241000,231500,236000,756779,-0.052208835341365445
2024-08-08,231500,240000,228500,236500,698685,-0.06706114398422092
2024-08-09,240500,248000,240000,243000,606967,-0.004098360655737654
2024-08-12,246000,249000,242000,243500,469844,0.0870535714285714
2024-08-13,242000,245500,240000,243000,358474,0.03404255319148941
2024-08-14,245500,248000,238500,241000,500276,0.021186440677966045
2024-08-16,248000,256500,246500,255000,1113073,0.07822410147991543
2024-08-19,256000,259500,250000,255000,739313,0.04938271604938271
2024-08-20,258000,261000,255000,256000,660818,0.05133470225872694
2024-08-21,257500,257500,251000,252500,359513,0.039094650205761416
2024-08-22,253500,254000,245500,248000,497250,0.029045643153526868
2024-08-23,245500,254000,245000,252500,449189,-0.009803921568627416
2024-08-26,255500,258000,247500,249500,469538,-0.021568627450980427
2024-08-27,248500,251000,244500,247500,555018,-0.033203125
2024-08-28,249500,261000,246000,259000,1170970,0.025742574257425765
2024-08-29,261500,267000,256000,258500,1646679,0.04233870967741926
2024-08-30,261000,265500,255500,255500,1206940,0.011881188118811892
