date,title,user,views,recommends,unrecommends
2024-08-30 10:22,한국사를 배운사람,"
				shgu****
			",118,1,0
2024-08-30 10:09,전강,"
				taek****
			",186,7,2
2024-08-30 9:59,오늘 한 5%?,"
				shan****
			",277,5,1
2024-08-30 9:59,비밀 알려줌,"
				puon****
			",213,4,2
2024-08-30 9:53,외인들에게 헐값에 다 파는 기관,"
				1031****
			",245,8,0
2024-08-30 9:52,ㅋㅋ 다때려. 뿌신디,"
				dbsc****
			",107,2,1
2024-08-30 9:49,대체 며칠을 이러는거임?,"
				dlst****
			",272,5,2
2024-08-30 9:46,방화범들 사라지게 만드는세상 우리국민이 만들어가요,"
				cyh6****
			",121,1,0
2024-08-30 9:42,개관 연개금,"
				hd******
			",123,3,1
2024-08-30 9:41,30만원 갖다 놔라,"
				hyt0****
			",115,4,3
2024-08-30 9:40,신하 매도창구 출현,"
				oc******
			",125,5,0
2024-08-30 9:37,신한 뚝배기 한번 깨보자,"
				we******
			",110,3,1
2024-08-30 9:35,정의선회장을 차기 대통령으로,"
				poys****
			",150,8,2
2024-08-30 9:35,또 슬슬 빠지노,"
				kwon****
			",100,1,0
2024-08-30 9:31,열 받는다,"
				dbsc****
			",133,2,0
2024-08-30 9:30,여기에 투자 느낀바로는...,"
				sojw****
			",186,3,0
2024-08-30 9:26,힘 받는다 가즈아,"
				park****
			",153,3,0
2024-08-30 9:25,배당주로 이동중,"
				uihy****
			",155,5,0
2024-08-30 9:23,신한 무차입 공매도 아니냐?,"
				uihy****
			",260,14,1
2024-08-30 9:22,신한,"
				jjs5****
			",169,8,0
2024-08-30 9:21,신한 물량 조사해라,"
				oc******
			",162,7,0
2024-08-30 9:18,오늘도,"
				puon****
			",219,1,5
2024-08-30 9:18,오늘 마지막 팔기회...날리지마시오...,"
				seun****
			",140,1,2
2024-08-30 9:19,"[삭제된 게시물의 답글]신한증권악마 금감원 째려보고, 세무조사~~","
				koh2****
			",27,2,0
2024-08-30 9:07,*** 오늘 구름때 돌파 각*****,"
				leeb****
			",141,4,1
2024-08-30 9:07,개미만 사는데 이게 가긋냐?,"
				koko****
			",265,2,3
2024-08-30 9:06,"배당주로 관심이동중,,,","
				koh2****
			",134,3,0
2024-08-30 9:04,똥휴지로도 못쓰는 현대차 주식,"
				koko****
			",66,0,4
2024-08-30 9:04,현대차 몰빵 ,"
				98******
			",120,1,3
2024-08-30 9:02,신한 방어선 구축중 vs 외인,"
				we******
			",117,5,2
2024-08-30 9:02,실적 비전 배당 모든게 완벽한 놈이다~,"
				viva****
			",81,0,1
2024-08-30 9:01,ㅋ,"
				dbsc****
			",52,0,2
2024-08-30 8:36,현기차의 최대실적,"
				jenn****
			",357,3,3
2024-08-30 8:34,오늘도,"
				puon****
			",233,1,5
2024-08-30 8:32,일본 태풍피해,"
				ji******
			",123,0,1
2024-08-30 8:16,난 오늘도,"
				moby****
			",409,1,5
2024-08-30 8:18,난 오늘도,"
				kwon****
			",60,3,1
2024-08-30 7:27,현대차의한계,"
				lcg6****
			",199,1,0
2024-08-30 7:08,skca**** 지배구조 얘기니오면 본주가 미친듯이 올라가고 우선주는 움직이지도 않아요.,"
				ju******
			",318,2,4
2024-08-30 6:39,현기차의 실적,"
				jenn****
			",238,2,0
2024-08-30 6:22,외인지분율 많이올랐네.주가는 안오르고,"
				mari****
			",255,1,1
2024-08-30 5:57,현대차 결국은 갑니다,"
				koko****
			",452,2,5
2024-08-30 3:20,미국 GM 의 폭등과 현대차,"
				smkf****
			",775,9,1
2024-08-30 2:45, 우선주 안하고 끝까지 본주 ,"
				kkoo****
			",831,3,3
2024-08-30 2:24,이번 주주환원에는 장치가 하나 걸려있음,"
				seun****
			",704,4,7
2024-08-30 1:33,네이버 기사 왜저럼,"
				togg****
			",622,1,0
2024-08-29 23:28,코로나펜데믹때 호가창봤나요?,"
				uj******
			",230,3,0
2024-08-29 23:20,2우b 주주 펙트체크 바람,"
				uj******
			",297,3,1
2024-08-29 23:06,여긴 사기공갈단 천국이에요?,"
				uj******
			",213,4,1
2024-08-29 22:51,도요타 곧 따라잡겠네요.,"
				live****
			",253,9,1
2024-08-29 22:14,"현대차, 2024 CEO Investor Day 리뷰","
				pi******
			",201,2,2
2024-08-29 21:56,낼,"
				sn******
			",319,3,1
2024-08-29 21:54,신한 증권의 무차별적 매도 횡포,"
				smkf****
			",283,14,0
2024-08-29 21:45,우선주가.본주 뛰어넘겄다,"
				mari****
			",231,5,1
2024-08-29 21:43,근데 진지하게 주주님들 본주 산 이유가 뭐임?,"
				wpru****
			",479,3,1
2024-08-29 21:31,왜 본주를 사가지고 안 오른다고 징징대냐?,"
				hype****
			",121,3,0
2024-08-29 20:20,여기도 개관이 조졌네 ,"
				stin****
			",206,12,0
2024-08-29 19:46,찬티 역겹네,"
				dbsc****
			",206,3,0
2024-08-29 19:24,도요타 곧 따라잡겠네요.,"
				live****
			",170,5,1
2024-08-29 18:57,하이브리드 대세,"
				jenn****
			",148,1,0
2024-08-29 18:18,미선물,"
				to1t****
			",399,10,3
2024-08-29 18:04,이상한데?,"
				mira****
			",250,4,1
2024-08-29 17:45,올라라 좀ㅋ,"
				dbsc****
			",178,2,1
2024-08-29 17:20,결국 보합이가 3%까지 올리고?,"
				cbr2****
			",226,3,2
2024-08-29 16:52,개관 개짓하는건 여전하구만,"
				92ch****
			",205,7,0
2024-08-29 16:48,하이브리드 대세,"
				jenn****
			",173,1,1
2024-08-29 16:07,대한민국 기관의 행태가 놀랍다.,"
				simo****
			",350,19,1
2024-08-29 16:06,9월말 75만원 나만 보이냐?,"
				sayd****
			",578,4,6
2024-08-29 16:03,현대차에 부모치여 사망한 고아가,"
				whaa****
			",191,1,2
2024-08-29 15:59,ㅋㅋ 내가 떨어진다 캤쓰 안캤쓰??? ㅋㅋㅋㅋㅋㅋㅋ,"
				se******
			",266,3,5
2024-08-29 15:52,본주,"
				myis****
			",202,3,1
2024-08-29 15:48,"현대차 우 급등 ,,,지주사 밸류업 시작인가?","
				hck6****
			",518,6,0
2024-08-29 15:47,펙트.,"
				ju******
			",266,3,1
2024-08-29 15:46,우 오를때 현대차는 뭐한겨?,"
				shan****
			",171,2,0
2024-08-29 15:35,경영진의 일반주 죽이기,"
				kims****
			",272,1,2
2024-08-29 15:19,밸류업,"
				rok1****
			",244,9,1
2024-08-29 15:16,뭐고 현대차 우B는 급등이구만,"
				kwon****
			",253,3,0
2024-08-29 14:59,내일은,"
				351c****
			",796,5,5
2024-08-29 15:23,내일은,"
				eung****
			",94,1,0
2024-08-29 14:58,약속의 3시,"
				jy******
			",403,1,2
2024-08-29 14:45,신한,"
				jjs5****
			",145,1,0
2024-08-29 14:29,화재는 방화일 가능성높다,"
				cyh6****
			",168,1,1
2024-08-29 14:27,8천억은 모 그룹에겐 껌인데,"
				ball****
			",149,1,0
2024-08-29 14:24,주주환원은,"
				moby****
			",217,5,1
2024-08-29 14:24,난 왜 258000이 너무 싼거같지??,"
				phju****
			",207,4,1
2024-08-29 14:18,뭐냐…,"
				veni****
			",158,2,1
2024-08-29 14:14,제넷ㅅ,"
				past****
			",113,0,1
2024-08-29 14:12,내가 15간다했을때,"
				oj******
			",172,1,3
2024-08-29 14:11,대폭락시작,"
				thrh****
			",162,1,4
2024-08-29 14:10,형들 20수 언제 깨짐?,"
				oj******
			",218,2,2
2024-08-29 14:07,우선주 소각해버려랴~,"
				llll****
			",351,6,4
2024-08-29 14:02,오늘지수  ,"
				jeum****
			",150,2,2
2024-08-29 13:56,현대차는 새로운 가격대를 볼거 같다..,"
				in******
			",246,4,2
2024-08-29 13:54,베터리 내재화,"
				ball****
			",127,1,1
2024-08-29 13:41,방화범을 잡는게 하늘에 별따기,"
				cyh6****
			",158,0,1
2024-08-29 14:15,방화범을 잡는게 하늘에 별따기,"
				kwon****
			",19,0,0
2024-08-29 13:40,이보게 장난이 심하잖소ㅋㅋ,"
				love****
			",262,4,2
2024-08-29 13:34,주가가 이게뭔가,"
				smkf****
			",285,1,4
2024-08-29 13:33,skc 현차초보지? 19~21만돌때 우선주랑 어?는데?,"
				ju******
			",236,3,2
2024-08-29 13:25,skc 현대차 매매해본적없네 주린이네,"
				ju******
			",204,3,1
2024-08-29 13:22,엄청난 호재데 반응이 없네~,"
				viva****
			",201,4,1
2024-08-29 13:19,현대차 = 잔세계 최고의 저평가 종목,"
				sin_****
			",180,5,1
2024-08-29 13:13,2우b 외인 순매수액수봐라,"
				ju******
			",441,3,1
2024-08-29 13:18,이건 수억가지고 배당타본사람만 공감함,"
				ju******
			",150,1,0
2024-08-29 13:07,단타물량 털고 가네,"
				oc******
			",264,3,4
2024-08-29 13:04,토요타공장  태풍 대피,"
				phil****
			",125,2,0
2024-08-29 13:02,반등,"
				to1t****
			",104,2,0
2024-08-29 12:59,허매수 들락날락 돔황차,"
				gold****
			",89,1,1
2024-08-29 12:53,외국인들은 열심히 사고있는데~,"
				phju****
			",355,4,1
